Name;Goods types;Measurement unit;Group ID;Product types;Value;Date
POMERANIA;;PLN;2;Hunter's sausage dried - per 1kg;21.16;2003-7
GREATER POLAND;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2016-5
SILESIA;apple juice, boxed - per 1l;PLN;1;;1.36;2010-3
LESSER POLAND;;PLN;2;pork meat with bone (shoulder) - per 1kg;10.81;2013-12
LUBUSZ;white table salt bagged - per 1kg;PLN;3;;0.0;2011-9
POLAND;;PLN;2;haddock fillets frozen - per 1kg;16.4;2018-6
LUBLIN;;PLN;2;pork  meat (raw bacon) - per 1kg;10.95;2010-8
LOWER SILESIA;;PLN;2;barley groats sausage - per 1kg;3.88;2000-9
WEST POMERANIA;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;13.66;2008-4
SUBCARPATHIA;beet sugar white, bagged - per 1kg;PLN;3;;0.18;2019-5
LUBUSZ;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2013-9
PODLASKIE;;PLN;2;boneless beef (sirloin) - per 1kg;30.62;2018-10
OPOLE;;PLN;2;pork belly cooked - per 1kg;14.55;2003-7
LUBLIN;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.63;2019-6
HOLY CROSS;;PLN;2;beef with bone (rump steak) - per 1kg;8.51;2001-12
HOLY CROSS;;PLN;2;Italian head cheese - per 1kg;9.98;2016-4
SUBCARPATHIA;;PLN;2;pork  meat (raw bacon) - per 1kg;12.59;2019-3
MASOVIA;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2013-2
MASOVIA;;PLN;4;Masurian barley groats - per 1kg;2.74;2017-1
LUBUSZ;;PLN;2;haddock fillets frozen - per 1kg;0.0;2008-5
SUBCARPATHIA;;PLN;2;fresh non-dressed carp - per 1kg;;2018-1
POMERANIA;;PLN;2;pork  meat (raw bacon) - per 1kg;12.37;2012-8
LUBLIN;;PLN;2;barley groats sausage - per 1kg;4.21;2001-7
WEST POMERANIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;8.25;2003-12
POLAND;;PLN;2;pork belly cooked - per 1kg;18.51;2016-4
ŁÓDŹ;;PLN;4;Masurian barley groats - per 1kg;0.0;2017-8
OPOLE;;PLN;2;Hunter's sausage dried - per 1kg;21.9;2013-2
WEST POMERANIA;;PLN;2;fresh non-dressed trout - per 1kg;9.24;2007-2
POMERANIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.74;2016-7
PODLASKIE;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;2.72;2008-2
ŁÓDŹ;;PLN;2;beef with bone (rump steak) - per 1kg;21.95;2014-11
WEST POMERANIA;white table salt bagged - per 1kg;PLN;3;;0.0;2015-11
PODLASKIE;;PLN;4;bread - per 1kg;;2011-12
POLAND;natural chocolate plain - per 1kg;PLN;3;;14.53;2012-3
PODLASKIE;;PLN;2;Backpacker's canned pork meat - per 300 g;2.92;2009-11
KUYAVIA-POMERANIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.49;2019-10
MASOVIA;;PLN;4;Masurian barley groats - per 1kg;1.66;2013-12
POMERANIA;natural chocolate plain - per 1kg;PLN;3;;0.0;2017-4
KUYAVIA-POMERANIA;;PLN;2;dressed chickens - per 1kg;4.58;2005-9
POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.653012048192771;2008-7
GREATER POLAND;;PLN;2;pork meat with bone (shoulder) - per 1kg;8.47;2004-4
WEST POMERANIA;30% tomato concentrate - per 1kg;PLN;1;;0.0;2007-9
LUBLIN;;PLN;2;barley groats sausage - per 1kg;8.25;2013-5
LUBLIN;;PLN;2;pork ham cooked - per 1kg;18.33;2015-2
HOLY CROSS;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2016-11
LESSER POLAND;;PLN;4;Masurian barley groats - per 1kg;1.56;2017-12
SILESIA;;PLN;2;Hunter's sausage dried - per 1kg;21.35;2015-8
LOWER SILESIA;;PLN;2;pork belly cooked - per 1kg;16.47;2010-7
LOWER SILESIA;;PLN;2;Hunter's sausage dried - per 1kg;20.41;2008-8
WEST POMERANIA;;PLN;2;Italian head cheese - per 1kg;9.51;2015-4
LESSER POLAND;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.87;2006-5
HOLY CROSS;;PLN;2;salted herring, non-dressed - per 1kg;5.15;2004-1
LESSER POLAND;;PLN;2;Italian head cheese - per 1kg;5.78;2004-8
LOWER SILESIA;natural chocolate plain - per 1kg;PLN;3;;0.0;2012-12
ŁÓDŹ;;PLN;2;Hunter's sausage dried - per 1kg;22.1;2012-4
WARMIA-MASURIA;;PLN;4;Masurian barley groats - per 1kg;0.0;2009-8
POMERANIA;;PLN;4;Masurian barley groats - per 1kg;1.08;2006-11
HOLY CROSS;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;2.85;2010-4
ŁÓDŹ;;PLN;2;fresh non-dressed carp - per 1kg;0.0;2002-11
HOLY CROSS;;PLN;2;pork ham cooked - per 1kg;16.25;2019-4
HOLY CROSS;white table salt bagged - per 1kg;PLN;3;;0.0;2009-3
LOWER SILESIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2018-6
HOLY CROSS;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;13.61;2006-3
SUBCARPATHIA;;PLN;2;pork ham cooked - per 1kg;21.1;2017-7
POLAND;;PLN;2;Hunter's sausage dried - per 1kg;24.56;2018-12
PODLASKIE;;PLN;2;boneless beef (sirloin) - per 1kg;11.72;2001-1
LOWER SILESIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;5.07;2011-6
POLAND;;PLN;4;buckwheat groats roasted whole - per 1kg;4.24;2012-10
ŁÓDŹ;;PLN;2;pork  meat (raw bacon) - per 1kg;8.29;2004-8
POLAND;;PLN;2;salted herring, non-dressed - per 1kg;12.2;2017-9
HOLY CROSS;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2005-3
OPOLE;;PLN;2;fresh non-dressed carp - per 1kg;;2012-2
HOLY CROSS;;PLN;2;smoked bacon with ribs - per 1kg;0.0;2007-1
LOWER SILESIA;beet sugar white, bagged - per 1kg;PLN;3;;1.95;2002-2
MASOVIA;natural chocolate plain - per 1kg;PLN;3;;19.66;2012-12
OPOLE;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2018-1
WEST POMERANIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.88;2011-12
POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2007-5
ŁÓDŹ;;PLN;2;dressed chickens - per 1kg;4.4;2002-11
SILESIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;4.22;2011-7
SUBCARPATHIA;30% tomato concentrate - per 1kg;PLN;1;;10.55;2012-6
PODLASKIE;;PLN;2;pork belly cooked - per 1kg;12.72;2005-5
PODLASKIE;fresh chichen egges - per 666pcs.;PLN;3;;0.0;2001-9
KUYAVIA-POMERANIA;;PLN;4;Masurian barley groats - per 1kg;1.33;2001-10
WARMIA-MASURIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2013-2
MASOVIA;;PLN;2;salted herring, non-dressed - per 1kg;1.27;2003-3
LESSER POLAND;;PLN;2;pork ham cooked - per 1kg;15.64;2019-11
WEST POMERANIA;;PLN;2;dressed chickens - per 1kg;6.25;2017-8
POLAND;apple juice, boxed - per 1l;PLN;1;;1.36;2006-10
LUBUSZ;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;4.12;2016-10
POMERANIA;;PLN;2;Italian head cheese - per 1kg;8.77;2010-2
LOWER SILESIA;;PLN;2;fresh non-dressed carp - per 1kg;;2017-1
POMERANIA;;PLN;2;smoked bacon with ribs - per 1kg;9.49;2003-3
POMERANIA;apple juice, boxed - per 1l;PLN;1;;0.0;2018-1
LESSER POLAND;;PLN;4;Poznan wheat flour, bagged - per 1kg;1.08;2010-3
ŁÓDŹ;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2012-5
OPOLE;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2010-9
PODLASKIE;;PLN;2;pork  meat (raw bacon) - per 1kg;11.32;2010-11
POMERANIA;apple juice, boxed - per 1l;PLN;1;;0.0;2010-5
SUBCARPATHIA;natural chocolate plain - per 1kg;PLN;3;;0.0;2013-10
LESSER POLAND;apple juice, boxed - per 1l;PLN;1;;1.21;2004-2
PODLASKIE;;PLN;4;buckwheat groats roasted whole - per 1kg;2.6;2009-6
SUBCARPATHIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.7108433734939759;2011-6
POLAND;;PLN;2;haddock fillets frozen - per 1kg;11.24;2009-9
MASOVIA;30% tomato concentrate - per 1kg;PLN;1;;9.04;2016-8
LUBUSZ;natural chocolate plain - per 1kg;PLN;3;;0.0;2001-7
ŁÓDŹ;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2006-4
SILESIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2018-5
KUYAVIA-POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.7493975903614457;2016-4
LUBLIN;;PLN;2;Backpacker's canned pork meat - per 300 g;3.39;2007-7
ŁÓDŹ;;PLN;2;salted herring, non-dressed - per 1kg;4.83;2006-11
SUBCARPATHIA;30% tomato concentrate - per 1kg;PLN;1;;8.54;2010-12
LUBUSZ;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.1;2010-8
WEST POMERANIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;8.01;2004-4
OPOLE;;PLN;2;pork meat with bone (shoulder) - per 1kg;8.86;1999-1
LESSER POLAND;;PLN;2;smoked bacon with ribs - per 1kg;10.45;2010-11
LESSER POLAND;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;12.13;2004-2
PODLASKIE;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2012-4
LESSER POLAND;;PLN;2;Hunter's sausage dried - per 1kg;18.07;2000-3
WEST POMERANIA;white table salt bagged - per 1kg;PLN;3;;0.0;2007-12
KUYAVIA-POMERANIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;2.01;2001-10
LESSER POLAND;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.6;2017-10
WEST POMERANIA;;PLN;2;Italian head cheese - per 1kg;10.18;2016-1
PODLASKIE;;PLN;4;bread - per 1kg;;2010-9
LESSER POLAND;fresh chichen egges - per 666pcs.;PLN;3;;0.0;2001-11
GREATER POLAND;;PLN;2;smoked bacon with ribs - per 1kg;9.08;1999-12
SILESIA;;PLN;4;Masurian barley groats - per 1kg;0.0;2008-3
WARMIA-MASURIA;;PLN;2;smoked bacon with ribs - per 1kg;8.31;1999-10
MASOVIA;fresh chichen egges - per 666pcs.;PLN;3;;0.32;2013-12
PODLASKIE;;PLN;2;boneless beef (sirloin) - per 1kg;11.29;2001-7
PODLASKIE;;PLN;2;salted herring, non-dressed - per 1kg;0.0;2017-7
SUBCARPATHIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2008-4
SUBCARPATHIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;0.25;2000-4
MASOVIA;natural chocolate plain - per 1kg;PLN;3;;20.0;2006-6
GREATER POLAND;;PLN;2;pork meat with bone (shoulder) - per 1kg;9.25;2000-9
OPOLE;;PLN;2;Backpacker's canned pork meat - per 300 g;0.0;2003-1
LESSER POLAND;;PLN;2;fresh non-dressed trout - per 1kg;15.1;2010-7
POLAND;;PLN;2;pork meat with bone (shoulder) - per 1kg;10.02;2014-11
WEST POMERANIA;white table salt bagged - per 1kg;PLN;3;;0.0;2017-12
LESSER POLAND;;PLN;2;smoked bacon with ribs - per 1kg;16.17;2014-8
OPOLE;;PLN;2;haddock fillets frozen - per 1kg;0.0;2011-11
SILESIA;;PLN;2;pork  meat (raw bacon) - per 1kg;9.22;2007-9
SILESIA;;PLN;2;Italian head cheese - per 1kg;6.5;2003-12
MASOVIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.61;2007-4
GREATER POLAND;apple juice, boxed - per 1l;PLN;1;;1.19;2019-10
ŁÓDŹ;white table salt bagged - per 1kg;PLN;3;;0.0;1999-9
ŁÓDŹ;;PLN;2;pork belly cooked - per 1kg;13.79;2000-11
ŁÓDŹ;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;2.02;2001-7
OPOLE;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;2.94;2007-2
ŁÓDŹ;frozen carrot and pea mix - per 1kg;EUR;1;;0.0;2009-5
PODLASKIE;;PLN;2;Italian head cheese - per 1kg;8.54;2010-11
OPOLE;natural chocolate plain - per 1kg;PLN;3;;0.0;2017-2
SUBCARPATHIA;;PLN;2;boneless beef (sirloin) - per 1kg;13.14;2000-3
PODLASKIE;;PLN;2;fresh non-dressed carp - per 1kg;;2014-5
LUBUSZ;fresh chichen egges - per 666pcs.;PLN;3;;0.0;2013-2
LOWER SILESIA;;PLN;2;pork ham cooked - per 1kg;15.34;1999-12
KUYAVIA-POMERANIA;;PLN;2;pork  meat (raw bacon) - per 1kg;9.86;2009-11
WARMIA-MASURIA;;PLN;2;boneless beef (sirloin) - per 1kg;28.7;2016-1
POLAND;;PLN;2;boneless beef (sirloin) - per 1kg;30.99;2016-5
WARMIA-MASURIA;;PLN;2;pork  meat (raw bacon) - per 1kg;9.78;2006-6
WARMIA-MASURIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.66;2009-5
OPOLE;30% tomato concentrate - per 1kg;PLN;1;;0.0;2017-8
WARMIA-MASURIA;;PLN;2;boneless beef (sirloin) - per 1kg;31.41;2016-4
LESSER POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;2.67;2007-4
LUBUSZ;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.87;2006-10
HOLY CROSS;;PLN;2;smoked bacon with ribs - per 1kg;10.6;2003-3
LESSER POLAND;;PLN;4;Masurian barley groats - per 1kg;1.62;2009-10
POLAND;natural chocolate plain - per 1kg;PLN;3;;15.66;2004-6
MASOVIA;;PLN;4;Masurian barley groats - per 1kg;1.21;2006-6
PODLASKIE;apple juice, boxed - per 1l;PLN;1;;0.0;2012-8
HOLY CROSS;;PLN;2;haddock fillets frozen - per 1kg;0.0;2017-5
SUBCARPATHIA;;PLN;2;fresh non-dressed carp - per 1kg;;2014-9
WEST POMERANIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2012-3
LOWER SILESIA;;PLN;2;fresh non-dressed carp - per 1kg;;2005-4
LOWER SILESIA;;PLN;2;pork  meat (raw bacon) - per 1kg;9.51;2005-6
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1;;0.57;1999-4
KUYAVIA-POMERANIA;;PLN;4;Masurian barley groats - per 1kg;0.89;2014-4
POMERANIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;8.93;2000-5
LOWER SILESIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;2.47;2001-12
LOWER SILESIA;;PLN;2;beef with bone (rump steak) - per 1kg;17.41;2009-11
LOWER SILESIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;3.53;2018-4
LUBUSZ;;PLN;4;bread - per 1kg;;2017-4
MASOVIA;natural chocolate plain - per 1kg;PLN;3;;21.31;2006-8
PODLASKIE;;PLN;4;bread - per 1kg;;2017-2
SUBCARPATHIA;;PLN;2;barley groats sausage - per 1kg;3.54;2005-7
POLAND;30% tomato concentrate - per 1kg;PLN;1;;7.57;2006-8
GREATER POLAND;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;;1999-8
LUBLIN;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;12.95;2006-8
SILESIA;;PLN;2;beef with bone (rump steak) - per 1kg;10.03;2001-10
LUBUSZ;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;0.0;2005-3
LOWER SILESIA;;PLN;2;smoked bacon with ribs - per 1kg;9.93;1999-12
POMERANIA;;PLN;2;salted herring, non-dressed - per 1kg;4.18;2000-7
LESSER POLAND;;PLN;4;bread - per 1kg;;2016-2
WARMIA-MASURIA;;PLN;2;Backpacker's canned pork meat - per 300 g;3.0;2005-11
PODLASKIE;;PLN;2;haddock fillets frozen - per 1kg;0.0;2003-5
WEST POMERANIA;beet sugar white, bagged - per 1kg;PLN;3;;0.0;2016-6
ŁÓDŹ;fresh chichen egges - per 666pcs.;PLN;3;;0.28;2018-6
WARMIA-MASURIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;1.94;2003-9
LESSER POLAND;apple juice, boxed - per 1l;PLN;1;;1.85;2018-4
POLAND;;PLN;4;bread - per 1kg;;2007-6
WARMIA-MASURIA;;PLN;2;boneless beef (sirloin) - per 1kg;22.34;2006-8
POMERANIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;1.02;1999-4
POLAND;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;13.66;2012-8
GREATER POLAND;frozen carrot and pea mix - per 1kg;EUR;1;;0.8192771084337348;2016-7
KUYAVIA-POMERANIA;;PLN;2;barley groats sausage - per 1kg;4.26;2006-11
GREATER POLAND;;PLN;2;smoked bacon with ribs - per 1kg;11.57;2003-6
KUYAVIA-POMERANIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2011-10
SUBCARPATHIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.32;2014-11
SILESIA;fresh chichen egges - per 666pcs.;PLN;3;;0.3;2014-9
LUBLIN;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.94;2003-11
WEST POMERANIA;natural chocolate plain - per 1kg;PLN;3;;0.0;2007-5
SUBCARPATHIA;;PLN;2;beef with bone (rump steak) - per 1kg;24.19;2018-12
MASOVIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2002-1
POLAND;;PLN;2;pork meat with bone (shoulder) - per 1kg;9.98;2016-11
WARMIA-MASURIA;;PLN;4;bread - per 1kg;;2000-4
HOLY CROSS;;PLN;2;Backpacker's canned pork meat - per 300 g;0.0;2004-1
KUYAVIA-POMERANIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.84;2002-9
LESSER POLAND;;PLN;4;Poznan wheat flour, bagged - per 1kg;1.11;2008-8
HOLY CROSS;;PLN;2;beef with bone (rump steak) - per 1kg;14.77;2007-2
WEST POMERANIA;30% tomato concentrate - per 1kg;PLN;1;;0.0;2010-1
SILESIA;;PLN;4;bread - per 1kg;;2003-1
ŁÓDŹ;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2006-8
POMERANIA;;PLN;2;smoked bacon with ribs - per 1kg;12.37;2008-1
LUBUSZ;;PLN;2;beef with bone (rump steak) - per 1kg;24.7;2012-10
PODLASKIE;;PLN;2;dressed chickens - per 1kg;5.14;2019-12
ŁÓDŹ;;PLN;2;pork belly cooked - per 1kg;13.82;2003-8
LUBUSZ;;PLN;2;Backpacker's canned pork meat - per 300 g;0.0;2005-12
KUYAVIA-POMERANIA;;PLN;4;Masurian barley groats - per 1kg;1.19;2004-10
WARMIA-MASURIA;;PLN;2;Backpacker's canned pork meat - per 300 g;2.62;2008-8
KUYAVIA-POMERANIA;beet sugar white, bagged - per 1kg;PLN;3;;2.16;2000-11
GREATER POLAND;;PLN;2;fresh non-dressed carp - per 1kg;6.71;2001-3
LESSER POLAND;;PLN;2;Italian head cheese - per 1kg;5.3;2007-5
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;2.22;2007-3
POMERANIA;;PLN;4;Masurian barley groats - per 1kg;1.08;2010-8
KUYAVIA-POMERANIA;;PLN;2;Italian head cheese - per 1kg;5.83;2003-4
HOLY CROSS;;PLN;2;fresh non-dressed carp - per 1kg;;2008-8
LOWER SILESIA;;PLN;2;Backpacker's canned pork meat - per 300 g;0.0;2017-4
SUBCARPATHIA;;PLN;2;pork  meat (raw bacon) - per 1kg;9.82;2004-4
HOLY CROSS;frozen carrot and pea mix - per 1kg;EUR;1;;0.0;2005-6
SUBCARPATHIA;;PLN;2;barley groats sausage - per 1kg;7.17;2014-8
GREATER POLAND;;PLN;2;pork belly cooked - per 1kg;16.69;2012-5
MASOVIA;white table salt bagged - per 1kg;PLN;3;;0.0;2000-1
SILESIA;apple juice, boxed - per 1l;PLN;1;;1.25;2015-5
OPOLE;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2018-4
POLAND;;PLN;2;pork belly cooked - per 1kg;16.73;2013-12
MASOVIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.47469879518072283;1999-10
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;0.0;2018-9
LESSER POLAND;white table salt bagged - per 1kg;PLN;3;;0.3;2006-9
LUBLIN;frozen carrot and pea mix - per 1kg;EUR;1;;0.7228915662650601;2006-9
LUBUSZ;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2016-6
SILESIA;;PLN;2;smoked bacon with ribs - per 1kg;17.01;2014-7
LESSER POLAND;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.9;2009-9
KUYAVIA-POMERANIA;beet sugar white, bagged - per 1kg;PLN;3;;2.53;2016-10
HOLY CROSS;;PLN;2;pork ham cooked - per 1kg;18.12;2008-10
ŁÓDŹ;beet sugar white, bagged - per 1kg;PLN;3;;0.0;2013-4
MASOVIA;beet sugar white, bagged - per 1kg;PLN;3;;2.56;2006-10
HOLY CROSS;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2006-7
OPOLE;;PLN;4;bread - per 1kg;;2003-2
KUYAVIA-POMERANIA;;PLN;2;barley groats sausage - per 1kg;7.17;2013-3
WARMIA-MASURIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;0.0;2018-9
POLAND;;PLN;4;Masurian barley groats - per 1kg;1.97;2013-4
KUYAVIA-POMERANIA;apple juice, boxed - per 1l;PLN;1;;0.0;2017-1
SUBCARPATHIA;30% tomato concentrate - per 1kg;PLN;1;;5.54;2003-6
KUYAVIA-POMERANIA;;PLN;4;Masurian barley groats - per 1kg;0.0;2006-6
LESSER POLAND;30% tomato concentrate - per 1kg;PLN;1;;6.71;2002-1
SILESIA;;PLN;2;pork ham cooked - per 1kg;16.77;2007-5
LESSER POLAND;;PLN;4;Masurian barley groats - per 1kg;1.61;2017-10
POLAND;apple juice, boxed - per 1l;PLN;1;;1.6;2010-9
WARMIA-MASURIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2009-3
LOWER SILESIA;fresh chichen egges - per 666pcs.;PLN;3;;0.27;2010-3
GREATER POLAND;;PLN;2;barley groats sausage - per 1kg;5.17;2004-5
LOWER SILESIA;;PLN;2;boneless beef (sirloin) - per 1kg;14.58;2001-6
OPOLE;apple juice, boxed - per 1l;PLN;1;;0.0;1999-6
OPOLE;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2010-8
LUBUSZ;;PLN;2;barley groats sausage - per 1kg;4.31;2006-12
LOWER SILESIA;;PLN;4;bread - per 1kg;;2008-9
MASOVIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.9012048192771084;2013-11
GREATER POLAND;;PLN;2;pork belly cooked - per 1kg;18.37;2018-3
LESSER POLAND;;PLN;4;bread - per 1kg;;2004-4
POLAND;;PLN;4;bread - per 1kg;;2004-5
WEST POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;2.16;2002-9
GREATER POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;3.6;2016-2
SILESIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;9.47;2003-2
POMERANIA;;PLN;2;Italian head cheese - per 1kg;10.14;2014-3
SUBCARPATHIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;9.84;2006-8
KUYAVIA-POMERANIA;;PLN;2;Backpacker's canned pork meat - per 300 g;0.0;2017-5
HOLY CROSS;apple juice, boxed - per 1l;PLN;1;;0.0;2016-5
WARMIA-MASURIA;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;10.71;2006-3
LUBLIN;;PLN;2;boneless beef (sirloin) - per 1kg;25.93;2018-10
WEST POMERANIA;;PLN;2;haddock fillets frozen - per 1kg;9.46;2006-1
ŁÓDŹ;white table salt bagged - per 1kg;PLN;3;;0.0;2008-1
SILESIA;;PLN;2;pork belly cooked - per 1kg;15.4;2004-5
LUBUSZ;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2018-3
HOLY CROSS;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.47;2011-3
LUBUSZ;;PLN;4;bread - per 1kg;;2001-8
WEST POMERANIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;8.66;1999-11
POMERANIA;;PLN;2;haddock fillets frozen - per 1kg;0.0;2014-5
MASOVIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.6674698795180722;2019-6
KUYAVIA-POMERANIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;10.97;2013-10
POLAND;frozen carrot and pea mix - per 1kg;EUR;1;;0.8602409638554216;2010-10
WARMIA-MASURIA;;PLN;2;beef with bone (rump steak) - per 1kg;8.01;1999-12
LOWER SILESIA;;PLN;2;fresh non-dressed carp - per 1kg;0.0;2003-10
LUBLIN;;PLN;2;pork ham cooked - per 1kg;16.21;2000-11
MASOVIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.8554216867469878;2007-2
LOWER SILESIA;;PLN;2;salted herring, non-dressed - per 1kg;0.43;2006-10
LOWER SILESIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;3.76;2017-7
SILESIA;beet sugar white, bagged - per 1kg;PLN;3;;2.53;2006-6
WEST POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;2.78;2003-6
LUBUSZ;natural chocolate plain - per 1kg;PLN;3;;0.0;2000-1
LUBLIN;;PLN;2;salted herring, non-dressed - per 1kg;7.77;2012-1
SILESIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2013-6
POMERANIA;white table salt bagged - per 1kg;PLN;3;;0.0;2002-5
HOLY CROSS;;PLN;2;Hunter's sausage dried - per 1kg;19.22;2001-5
WARMIA-MASURIA;;PLN;2;salted herring, non-dressed - per 1kg;6.05;2007-11
SILESIA;;PLN;2;Italian head cheese - per 1kg;6.43;2003-10
LESSER POLAND;;PLN;2;pork meat with bone (shoulder) - per 1kg;8.13;2007-7
LOWER SILESIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;;1999-4
PODLASKIE;;PLN;2;salted herring, non-dressed - per 1kg;5.76;2009-10
GREATER POLAND;;PLN;2;boneless beef (sirloin) - per 1kg;18.18;2004-7
LUBLIN;;PLN;2;smoked bacon with ribs - per 1kg;8.31;2000-12
GREATER POLAND;;PLN;2;pork belly cooked - per 1kg;15.8;2001-9
POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;3.1;2017-5
GREATER POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;3.38;2016-11
PODLASKIE;;PLN;2;salted herring, non-dressed - per 1kg;2.73;2004-3
LESSER POLAND;;PLN;2;haddock fillets frozen - per 1kg;0.0;2002-6
POLAND;;PLN;2;pork ham cooked - per 1kg;16.45;2008-1
LOWER SILESIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2013-7
SILESIA;;PLN;2;Backpacker's canned pork meat - per 300 g;3.31;2009-11
WARMIA-MASURIA;;PLN;2;fresh non-dressed trout - per 1kg;11.99;2009-9
SUBCARPATHIA;fresh chichen egges - per 666pcs.;PLN;3;;0.33;2017-5
OPOLE;;PLN;4;Masurian barley groats - per 1kg;0.0;2015-8
POLAND;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;13.34;2013-10
OPOLE;;PLN;2;barley groats sausage - per 1kg;5.07;2006-6
WARMIA-MASURIA;;PLN;2;fresh non-dressed trout - per 1kg;;2000-8
